Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-IZH	Airbus A320neo	Y186	Nov 2018		7.2 Years	
VT-IZK	Airbus A320neo	Y186	Dec 2018		7 Years	
VT-IZL	Airbus A320neo	Y186	Dec 2018	Parked at COK, lsd	7 Years	
VT-IZM	Airbus A320neo	Y186	Dec 2018	lsd	7.1 Years	
VT-IZN	Airbus A320neo	Y186	Dec 2018	lsd	7 Years	
VT-IZV	Airbus A320neo	Y186	Dec 2019	Parked at DEL, lsd	6 Years	
VT-IKW	Airbus A321-200(F)	Cargo	Oct 2022	lsd	18.2 Years	
VT-IKX	Airbus A321-200(F)	Cargo	Dec 2022	lsd	18 Years	
VT-IKY	Airbus A321-200(F)	Cargo	Oct 2023	lsd	16.5 Years	
A7-AJD	Airbus A321neo	Y236	Nov 2025	lsf Qatar Airways	0.2 Years	
VT-IAZ	Airbus A321neo	Y232	Aug 2024	lsd	1.3 Years	
VT-IBB	Airbus A321neo	Y232	Nov 2022	lsd	3.1 Years	
VT-IBC	Airbus A321neo	Y232	Nov 2022	lsd	3.1 Years	
VT-IBD	Airbus A321neo	Y232	Nov 2022	lsd	3.1 Years	
VT-IBE	Airbus A321neo	Y232	Dec 2022	lsd	3.1 Years	
VT-IBF	Airbus A321neo	Y232	Dec 2022	lsd	3 Years	
VT-IBH	Airbus A321neo	Y232	Dec 2022	lsd	3 Years	
VT-IBI	Airbus A321neo	Y232	Feb 2023	lsd	2.9 Years	
VT-IBJ	Airbus A321neo	Y232	Dec 2022	Parked / Maintenance, lsd	3 Years	
VT-IBK	Airbus A321neo	Y232	Apr 2023	lsd	2.8 Years	
VT-IBL	Airbus A321neo	Y232	Apr 2023	lsd	2.7 Years	
VT-IBM	Airbus A321neo	Y232	May 2023	lsd	2.6 Years	
VT-IBN	Airbus A321neo	Y232	May 2023	lsd	2.6 Years	
VT-IBO	Airbus A321neo	Y232	May 2023	Parked / Maintenance, lsd	2.6 Years	
VT-IBQ	Airbus A321neo	Y232	Jun 2023	lsd	2.6 Years	
VT-IBT	Airbus A321neo	Y232	May 2023	lsd	2.6 Years	
VT-IBU	Airbus A321neo	Y232	Jun 2023	lsd	2.5 Years	
VT-IBV	Airbus A321neo	Y232	Jul 2023		2.5 Years	
VT-IBW	Airbus A321neo	Y232	Aug 2023	lsd	2.4 Years	
VT-IBX	Airbus A321neo	Y232	Jul 2023	lsd	2.4 Years	
VT-IBY	Airbus A321neo	Y232	Aug 2023	lsd	2.4 Years	
VT-IBZ	Airbus A321neo	Y232	Aug 2023	lsd	2.4 Years	
VT-ICB	Airbus A321neo	Y232	Sep 2024	lsd	1.3 Years	
VT-ICC	Airbus A321neo	Y232	Sep 2024	lsd	1.2 Years	
VT-ICD	Airbus A321neo	Y232	Oct 2024	lsd	1.2 Years	
VT-ICF	Airbus A321neo	C12Y208	Oct 2024	lsd	1.2 Years	
VT-ICG	Airbus A321neo	Y232	Nov 2024	lsd	1.1 Years	
VT-ICH	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-ICI	Airbus A321neo	Y232	Nov 2024	lsd	1.1 Years	
VT-ICK	Airbus A321neo	Y232	Nov 2024	lsd	1.1 Years	
VT-ICL	Airbus A321neo	Y232	Nov 2024	lsd	1.1 Years	
VT-ICM	Airbus A321neo	C12Y208	Nov 2024	Stored at DEL after incident, lsd	1.1 Years	
VT-ICN	Airbus A321neo	Y232	Sep 2023	lsd	2.2 Years	
VT-ICO	Airbus A321neo	Y232	Oct 2023	lsd	2.2 Years	
VT-ICP	Airbus A321neo	Y232	May 2024	Parked / Maintenance, lsd	1.6 Years	
