Reg	Aircraft Type	Config	Delivered	Remark	Aircraft Name	Age	
VT-ALU	Boeing 777-300ER	F4C35Y303	Jul 2010		ओडिशा / Odisha 	15.4 Years	
VT-ALX	Boeing 777-300ER	F4C35Y303	Mar 2018	Parked / Maintenance	सिक्किम / Sikkim 	7.8 Years	
VT-ANA	Boeing 787-8 Dreamliner	C18Y238	Mar 2014			11.9 Years	
VT-ANC	Boeing 787-8 Dreamliner	C18Y238	Jun 2014	"75th Anniversary" sticker		11.6 Years	
VT-AND	Boeing 787-8 Dreamliner	C18Y238	Sep 2012			14.4 Years	
VT-ANE	Boeing 787-8 Dreamliner	C18Y238	Dec 2013			12.1 Years	
VT-ANG	Boeing 787-8 Dreamliner	C18Y238	Nov 2013	Parked at BOM		12.2 Years	
VT-ANH	Boeing 787-8 Dreamliner	C18Y238	Sep 2012			13.9 Years	
VT-ANI	Boeing 787-8 Dreamliner	C18Y238	Oct 2012			13.5 Years	
VT-ANJ	Boeing 787-8 Dreamliner	C18Y238	Mar 2013			13.2 Years	
VT-ANK	Boeing 787-8 Dreamliner	C18Y238	Dec 2012			13.1 Years	
VT-ANL	Boeing 787-8 Dreamliner	C18Y238	Dec 2012			13.1 Years	
VT-ANM	Boeing 787-8 Dreamliner	C18Y238	Jun 2013			13 Years	
VT-ANN	Boeing 787-8 Dreamliner	C18Y238	Aug 2013			12.6 Years	
VT-ANO	Boeing 787-8 Dreamliner	C18Y238	Oct 2013			12.5 Years	
VT-ANP	Boeing 787-8 Dreamliner		Jun 2014	Seating reconfiguration at VCV, "Mahatma Gandhi"  tail		11.7 Years	
VT-ANQ	Boeing 787-8 Dreamliner	C18Y238	Jul 2014	"Guru Nanak - 550 Years Celebration"  tail		11.5 Years	
VT-ANR	Boeing 787-8 Dreamliner	C18Y238	Sep 2014			11.3 Years	
VT-ANS	Boeing 787-8 Dreamliner	C18Y238	Dec 2014			11.1 Years	
VT-ANT	Boeing 787-8 Dreamliner		Feb 2015	Seating reconfiguration at VCV		11 Years	
VT-ANU	Boeing 787-8 Dreamliner	C18Y238	Mar 2015	Star Alliance  cs		10.8 Years	
VT-ANV	Boeing 787-8 Dreamliner	C18Y238	Jun 2015			10.5 Years	
VT-ANW	Boeing 787-8 Dreamliner	C18Y238	Nov 2016			9.1 Years	
VT-ANX	Boeing 787-8 Dreamliner	C18Y238	Jan 2017			9 Years	
VT-ANY	Boeing 787-8 Dreamliner	C18Y241	Jul 2017			8.5 Years	
VT-ANZ	Boeing 787-8 Dreamliner	C18Y241	Aug 2017			8.4 Years	
VT-NAA	Boeing 787-8 Dreamliner	C18Y241	Aug 2017			8.3 Years	
VT-NAC	Boeing 787-8 Dreamliner	C18Y241	Oct 2017			8.2 Years	
VT-AWA	Boeing 787-9 Dreamliner		On Order			0.3 Years	
VT-TSD	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024			5.8 Years	
VT-TSE	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024			5.7 Years	
VT-TSH	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024	lsd		5 Years	
VT-TSN	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024			5.2 Years	
VT-TSO	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024	lsd		4.3 Years	
VT-TSP	Boeing 787-9 Dreamliner	C30W21Y248	Nov 2024	lsd		2.8 Years	
